R,xi=-1.0,xi=-0.75,xi=-0.5,xi=-0.25,xi=0.0,xi=0.25,xi=0.5,xi=0.75,xi=1.0
5.420168103177634,1.926899562031067,2.0648921968888962,2.200529770493761,2.333718424655908,2.464360365882137,2.592352833730143,2.7175881196001255,2.83995311402376,2.9593299174772465
5.354180539738174,1.923262197805235,2.0618212358457213,2.197989914181052,2.331671284696613,2.4627637031992657,2.5911601428208577,2.7167488858405053,2.8394125379346287,2.9590276133977462
5.288996338564567,1.9196201042613545,2.058744718593892,2.1954441641232294,2.3296179648352955,2.4611610201338503,2.5899624209953602,2.7159056793253487,2.838868199392144,2.9587230825264546
5.2246057191633914,1.9159728270418153,2.0556621074201673,2.192892048121988,2.3275587094960697,2.4595527665057095,2.588759428724717,2.715057962002376,2.83832076532972,2.9584158150048534
5.160999020113349,1.9123207337565684,2.052573822820994,2.190333691858877,2.325492954798829,2.4579386383689044,2.587551606361411,2.7142056115548616,2.8377705501345614,2.9581065419907673
5.098166697615627,1.908663673493338,2.0494798366395806,2.1877694305539404,2.3234212046457334,2.4563185758564257,2.58633805242956,2.7133494276885064,2.8372169578158735,2.9577954102062938
5.036099324061912,1.90500130826295,2.0463796225163695,2.1851983895393183,2.321343186162396,2.4546929834566726,2.585119152297311,2.7124892268800873,2.836659835809726,2.9574817708741903
4.974787586619833,1.9013341253676237,2.0432737863603334,2.1826209307094877,2.319258440173407,2.453060868857215,2.5838955522698153,2.7116244433969,2.8360993889309154,2.9571656768565413
4.914222285835626,1.8976618235149096,2.0401620379740897,2.1800375241385908,2.317167615000037,2.4514227080459587,2.5826669012268613,2.7107551569670227,2.8355356149688853,2.9568472596459188
4.854394334253815,1.8939840971959594,2.0370437980738454,2.177447940129796,2.315070737475261,2.449779109128615,2.5814326768264464,2.709881524666151,2.8349684829943804,2.9565265383113504
4.795294755053692,1.8903015324894057,2.0339197038813976,2.174851989636111,2.312967602528974,2.4481297413541045,2.580193036743873,2.7090034805244896,2.834397867475273,2.9562033999543966
4.736914680702398,1.886613783235977,2.0307898858885363,2.1722493275409676,2.3108577882322145,2.446474110744004,2.578948119905924,2.7081210033228054,2.833823892969907,2.9558778685966764
4.679245351624411,1.882920262234599,2.027654162526267,2.1696403276509453,2.3087415472565875,2.444812272668361,2.5776978196466107,2.7072339638294736,2.833246325789361,2.9555499002629375
4.622278114887216,1.8792215746490433,2.0245122967184512,2.167024863703627,2.3066189240380384,2.4431444618643505,2.576442162614351,2.706342507107131,2.832665379516376,2.9552194682565966
4.566004422902989,1.8755179242355438,2.0213640493793674,2.164402872379249,2.3044897581568664,2.441470483071841,2.5751809451461205,2.705446342681576,2.832080805713782,2.954886607838577
4.5104158321460845,1.8718090777145322,2.018209812165822,2.161774513334468,2.302354221106069,2.4397904894176885,2.573914399382182,2.704545754002475,2.831492758324369,2.9545511935891597
4.455504001886134,1.8680949499377075,2.015049369813505,2.159139339537112,2.3002119150099856,2.4381041352967694,2.5726421456602595,2.7036404047401335,2.8309010810062825,2.954213387786067
